dataset,model,defense,metric,mean,std,ci_low,ci_high,n_seeds
Cora,GCN,sami_temp_only,conf_attack_auc,0.5734,0.013299060117166183,0.5625199999999999,0.5823600000000001,5
Cora,GCN,sami_temp_only,lira_attack_auc,0.5321,0.010285426583277938,0.52418,0.5401800000000001,5
Cora,GCN,sami_temp_only,ece_test,0.044980000000000006,0.014240856715801895,0.034031000000000006,0.05726,5
Cora,GCN,sami_temp_only,lira_tpr_at_0.01_fpr,0.017179999999999997,0.0054024994215640595,0.012935500000000003,0.021259999999999998,5
Cora,GraphSAGE,advreg,test_accuracy,0.88236,0.007364645273195432,0.87666,0.88824,5
Cora,GraphSAGE,advreg,conf_attack_auc,0.6144800000000001,0.007597170525926079,0.60778,0.61966,5
Cora,GraphSAGE,advreg,lira_attack_auc,0.54324,0.015076902864978604,0.53066,0.5532,5
Cora,GraphSAGE,advreg,ece_test,0.050780000000000006,0.0030490982273452577,0.04873800000000001,0.053405499999999995,5
Cora,GraphSAGE,advreg,lira_tpr_at_0.01_fpr,0.027360000000000002,0.0021090282122342508,0.0259,0.029200000000000004,5
Cora,GraphSAGE,dropedge,test_accuracy,0.87348,0.007529409007352458,0.8683,0.87902,5
Cora,GraphSAGE,dropedge,conf_attack_auc,0.6801999999999999,0.009083776747586893,0.6739599999999999,0.6883799999999999,5
Cora,GraphSAGE,dropedge,lira_attack_auc,0.5748,0.013029197979921855,0.5652999999999999,0.5847794999999999,5
Cora,GraphSAGE,dropedge,ece_test,0.05222,0.00772573621087337,0.0462,0.05826,5
Cora,GraphSAGE,dropedge,lira_tpr_at_0.01_fpr,0.038419999999999996,0.011456526524213174,0.03012,0.04765399999999999,5
Cora,GraphSAGE,gtd,test_accuracy,0.8759,0.00814309523461444,0.8694349999999997,0.8819799999999999,5
Cora,GraphSAGE,gtd,conf_attack_auc,0.5847199999999999,0.01060127350840455,0.5760599999999999,0.5931599999999999,5
Cora,GraphSAGE,gtd,lira_attack_auc,0.53824,0.007844615988051942,0.53176,0.5442400000000001,5
Cora,GraphSAGE,gtd,ece_test,0.09236,0.00711919939319022,0.08674,0.09798,5
Cora,GraphSAGE,gtd,lira_tpr_at_0.01_fpr,0.02086,0.006301825132451709,0.016239999999999997,0.026600000000000002,5
Cora,GraphSAGE,label_smoothing,test_accuracy,0.87904,0.005335541209661872,0.87478,0.88276,5
Cora,GraphSAGE,label_smoothing,conf_attack_auc,0.7115199999999999,0.008122622729143594,0.705036,0.7177,5
Cora,GraphSAGE,label_smoothing,lira_attack_auc,0.5906200000000001,0.010390235800981602,0.58258,0.5984200000000001,5
Cora,GraphSAGE,label_smoothing,ece_test,0.1105,0.008571755946129125,0.1031525,0.11654,5
Cora,GraphSAGE,label_smoothing,lira_tpr_at_0.01_fpr,0.037680000000000005,0.007894745087714993,0.03086,0.04396,5
Cora,GraphSAGE,lbp,test_accuracy,0.701,0.013831305072190402,0.691395,0.7124599999999999,5
Cora,GraphSAGE,lbp,conf_attack_auc,0.57872,0.025378475131496766,0.55928,0.59816,5
Cora,GraphSAGE,lbp,lira_attack_auc,0.64464,0.009856622139455302,0.63664,0.65212,5
Cora,GraphSAGE,lbp,ece_test,0.13213999999999998,0.015203716650871914,0.120338,0.14414,5
Cora,GraphSAGE,lbp,lira_tpr_at_0.01_fpr,0.02068,0.005961291806311783,0.016035500000000005,0.025140000000000003,5
Cora,GraphSAGE,none,test_accuracy,0.877,0.005616493568054739,0.87292,0.88164,5
Cora,GraphSAGE,none,conf_attack_auc,0.65008,0.006423939601210469,0.64498,0.654902,5
Cora,GraphSAGE,none,lira_attack_auc,0.56672,0.006947445573734287,0.5621745,0.5725399999999999,5
Cora,GraphSAGE,none,ece_test,0.05134,0.007602828421054892,0.04574,0.05763999999999999,5
Cora,GraphSAGE,none,lira_tpr_at_0.01_fpr,0.03250000000000001,0.004713279113313786,0.028820000000000002,0.03582,5
