dataset,model,defense,baseline,metric,mean_baseline,mean_defense,diff,t_stat,p_value,n_seeds,util_diff,util_baseline,util_defense,p_adjusted,adjustment,effect_size_delta
synthetic_high_dense,GraphSAGE,sami,none,lira_attack_auc,0.49804000000000004,0.5112,0.013160000000000015,-0.8062768945589701,0.4652875875093377,5,-0.008739999999999993,1.0,0.9912600000000001,1.0,holm,0.013160000000000015
synthetic_high_dense,GraphSAGE,lbp,none,lira_attack_auc,0.49804000000000004,0.48963999999999996,-0.008400000000000019,1.0932255916062623,0.3357171927308849,5,-0.11750000000000002,1.0,0.8825,1.0,holm,-0.008400000000000019
synthetic_high_dense,GraphSAGE,gtd,none,lira_attack_auc,0.49804000000000004,0.49878,0.0007400000000000184,-1.0216863158255383,0.3646911441606745,5,0.0,1.0,1.0,1.0,holm,0.0007400000000000184
synthetic_high_dense,GraphSAGE,dropedge,none,lira_attack_auc,0.49804000000000004,0.49508,-0.002960000000000007,1.7744604362223177,0.1506539531868918,5,0.0,1.0,1.0,1.0,holm,-0.002960000000000007
synthetic_high_dense,GraphSAGE,label_smoothing,none,lira_attack_auc,0.49804000000000004,0.50882,0.01077999999999999,-1.5330482141419433,0.20003732645590294,5,0.0,1.0,1.0,1.0,holm,0.01077999999999999
synthetic_low_medium,GCN,sami,none,lira_attack_auc,0.49286,0.48927999999999994,-0.0035800000000000276,0.386801284582711,0.7185999905986318,5,-0.007479999999999998,0.8062400000000001,0.79876,1.0,holm,-0.0035800000000000276
synthetic_low_medium,GCN,lbp,none,lira_attack_auc,0.49286,0.49345999999999995,0.0005999999999999894,-0.09133679196229018,0.931616203532177,5,-0.13621999999999998,0.8062400000000001,0.6700200000000001,1.0,holm,0.0005999999999999894
synthetic_low_medium,GCN,gtd,none,lira_attack_auc,0.49286,0.49612,0.0032599999999999964,-3.0418177799766255,0.038333927946933605,5,-0.007499999999999995,0.8062400000000001,0.79874,1.0,holm,0.0032599999999999964
synthetic_low_medium,GCN,dropedge,none,lira_attack_auc,0.49286,0.5004799999999999,0.007619999999999993,-2.155658146653281,0.09736177461077967,5,-0.019999999999999997,0.8062400000000001,0.7862399999999999,1.0,holm,0.007619999999999993
synthetic_low_medium,GCN,label_smoothing,none,lira_attack_auc,0.49286,0.49366000000000004,0.0007999999999999896,-0.38989614306285825,0.7164839767326137,5,0.002520000000000011,0.8062400000000001,0.8087600000000001,1.0,holm,0.0007999999999999896
synthetic_low_medium,GraphSAGE,sami,none,lira_attack_auc,0.5016999999999999,0.5033799999999999,0.0016800000000000038,-0.08524697011571039,0.9361613840063256,5,-0.0050000000000000044,1.0,0.9950000000000001,1.0,holm,0.0016800000000000038
synthetic_low_medium,GraphSAGE,lbp,none,lira_attack_auc,0.5016999999999999,0.49116,-0.010540000000000004,0.770282226030085,0.484103168373404,5,-0.11750000000000002,1.0,0.8825,1.0,holm,-0.010540000000000004
synthetic_low_medium,GraphSAGE,gtd,none,lira_attack_auc,0.5016999999999999,0.4967,-0.004999999999999993,1.002267690372538,0.3729284935638978,5,0.0,1.0,1.0,1.0,holm,-0.004999999999999993
synthetic_low_medium,GraphSAGE,dropedge,none,lira_attack_auc,0.5016999999999999,0.5048199999999999,0.0031200000000000004,-0.27334222086896154,0.7981230738475427,5,0.0,1.0,1.0,1.0,holm,0.0031200000000000004
synthetic_low_medium,GraphSAGE,label_smoothing,none,lira_attack_auc,0.5016999999999999,0.50324,0.0015399999999999969,-0.10619790609884916,0.9205381586138082,5,0.0,1.0,1.0,1.0,holm,0.0015399999999999969
synthetic_low_sparse,GCN,sami,none,lira_attack_auc,0.50216,0.50506,0.0029000000000000137,-0.23462214935798603,0.8260226786258286,5,-0.007499999999999995,0.7725,0.7649999999999999,1.0,holm,0.0029000000000000137
synthetic_low_sparse,GCN,lbp,none,lira_attack_auc,0.50216,0.49284,-0.009319999999999985,2.8140024789113336,0.048120597545199366,5,-0.11498,0.7725,0.6575200000000001,1.0,holm,-0.009319999999999985
synthetic_low_sparse,GCN,gtd,none,lira_attack_auc,0.50216,0.50378,0.0016199999999999882,-1.05265846773184,0.35188420509447516,5,0.0037600000000000077,0.7725,0.7762600000000001,1.0,holm,0.0016199999999999882
synthetic_low_sparse,GCN,dropedge,none,lira_attack_auc,0.50216,0.5026999999999999,0.000539999999999996,-0.15662638907083623,0.8831267315906467,5,-0.042480000000000004,0.7725,0.73002,1.0,holm,0.000539999999999996
