dataset,model,defense,baseline,metric,delta_mean,delta_std,ci_low,ci_high,n_seeds
Citeseer,GCN,lbp,none,conf_attack_auc,-0.014119999999999999,0.020733957654051484,-0.03270000000000002,-0.0011200000000000099,5
Citeseer,GraphSAGE,lbp,none,conf_attack_auc,-0.08475999999999999,0.03704312351840757,-0.11813999999999998,-0.06483999999999998,5
Cora,GCN,lbp,none,conf_attack_auc,-0.019440000000000034,0.02738855600428763,-0.040180000000000035,0.0007734999999998872,5
Cora,GraphSAGE,lbp,none,conf_attack_auc,-0.07135999999999998,0.029017287950461552,-0.09325999999999997,-0.04723999999999997,5
PubMed,GCN,lbp,none,conf_attack_auc,6.0000000000004494e-05,0.008009556791733244,-0.006120000000000003,0.006240000000000012,5
PubMed,GraphSAGE,lbp,none,conf_attack_auc,-0.0004999999999999894,0.007251896303726321,-0.006307499999999936,0.0048799999999999955,5
synthetic_high_dense,GCN,lbp,none,conf_attack_auc,0.006239999999999979,0.022580367578939022,-0.01042000000000005,0.02557999999999998,5
synthetic_high_dense,GraphSAGE,lbp,none,conf_attack_auc,0.017119999999999958,0.0297455374804356,-0.005820000000000036,0.04005999999999995,5
synthetic_low_medium,GCN,lbp,none,conf_attack_auc,-0.055559999999999964,0.07650939811552562,-0.11545999999999994,-0.0023199999999999887,5
synthetic_low_medium,GraphSAGE,lbp,none,conf_attack_auc,-0.007300000000000029,0.05634718271573123,-0.04798000000000002,0.033379999999999965,5
synthetic_low_sparse,GCN,lbp,none,conf_attack_auc,-0.03598000000000005,0.07880118653929012,-0.08738000000000005,0.03341999999999995,5
synthetic_low_sparse,GraphSAGE,lbp,none,conf_attack_auc,-0.024660000000000026,0.09694840380326022,-0.09727249999999996,0.049999999999999975,5
Citeseer,GCN,gtd,none,conf_attack_auc,0.012219999999999986,0.03380927387566909,-0.015200000000000014,0.03621999999999999,5
Citeseer,GraphSAGE,gtd,none,conf_attack_auc,-0.11172,0.03697292252446375,-0.13657999999999998,-0.07748000000000002,5
Cora,GCN,gtd,none,conf_attack_auc,-0.016700000000000003,0.01508857183433869,-0.027279999999999992,-0.0036000000000000034,5
Cora,GraphSAGE,gtd,none,conf_attack_auc,-0.06536000000000002,0.0065607164242939,-0.07056,-0.06016000000000003,5
PubMed,GCN,gtd,none,conf_attack_auc,-0.002180000000000004,0.002982783934514885,-0.004380000000000028,0.00017999999999999128,5
PubMed,GraphSAGE,gtd,none,conf_attack_auc,-0.0012399999999999744,0.003870788033463004,-0.004580000000000006,0.0015800000000000703,5
synthetic_high_dense,GCN,gtd,none,conf_attack_auc,-0.00129999999999999,0.006802573042606759,-0.006800000000000006,0.003780000000000017,5
synthetic_high_dense,GraphSAGE,gtd,none,conf_attack_auc,-0.002080000000000015,0.00980520270060745,-0.009099999999999997,0.005179999999999974,5
synthetic_low_medium,GCN,gtd,none,conf_attack_auc,-0.01497999999999997,0.018082920118166756,-0.026859999999999974,0.00046000000000001595,5
synthetic_low_medium,GraphSAGE,gtd,none,conf_attack_auc,0.006640000000000012,0.0237087114791167,-0.009799999999999986,0.025880000000000004,5
synthetic_low_sparse,GCN,gtd,none,conf_attack_auc,-0.017500000000000016,0.06605527987980973,-0.07210000000000001,0.03901999999999998,5
synthetic_low_sparse,GraphSAGE,gtd,none,conf_attack_auc,0.02353999999999997,0.07841296448929859,-0.018600000000000026,0.09306,5
Citeseer,GCN,label_smoothing,none,conf_attack_auc,0.02028000000000003,0.006306900982257447,0.014900000000000024,0.024700000000000034,5
Citeseer,GraphSAGE,label_smoothing,none,conf_attack_auc,0.06415999999999997,0.007129726502468357,0.058820000000000004,0.06957999999999995,5
Cora,GCN,label_smoothing,none,conf_attack_auc,0.034559999999999994,0.032737715253206054,0.010539999999999994,0.06042000000000001,5
Cora,GraphSAGE,label_smoothing,none,conf_attack_auc,0.06144000000000001,0.013662100863337244,0.051019999999999996,0.07206000000000001,5
PubMed,GCN,label_smoothing,none,conf_attack_auc,-0.0003400000000000181,0.0020280532537387016,-0.0019200000000000439,0.0012400000000000078,5
PubMed,GraphSAGE,label_smoothing,none,conf_attack_auc,0.0029400000000000094,0.006052520136273818,-0.0011600000000000054,0.008200000000000008,5
synthetic_high_dense,GCN,label_smoothing,none,conf_attack_auc,0.002960000000000007,0.010580784469971958,-0.005440000000000012,0.010065999999999948,5
synthetic_high_dense,GraphSAGE,label_smoothing,none,conf_attack_auc,0.004239999999999989,0.045427612748195324,-0.02779999999999998,0.042899999999999994,5
synthetic_low_medium,GCN,label_smoothing,none,conf_attack_auc,0.010960000000000036,0.03246171591274864,-0.007999999999999919,0.03904000000000003,5
