dataset,model,defense,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std,attack_auc_mean,attack_auc_std,attack_tpr01_mean,attack_tpr05_mean,attack_adv_mean,thresh_auc_mean,thresh_auc_std,shadow_auc_mean,shadow_auc_std,shadow_tpr01_mean,shadow_tpr05_mean,shadow_adv_mean,ece_test_mean,ece_test_std,label_only_auc_mean,label_only_auc_std,label_only_tpr01_mean,label_only_tpr05_mean,label_only_adv_mean,train_ego_gap_mean,test_ego_gap_mean,ego_gap_diff_mean,dp_epsilon_mean
synthetic_low_dense,GCN,early_stopping,0.83,0.0239,0.8305,0.0243,0.5173,0.0356,0.0197,0.0555,0.1146,0.5216,0.0378,0.5171,0.0324,0.0065,0.0495,0.0825,0.053,0.015,,,,,,0.004,0.0036,0.0004,
synthetic_low_dense,GCN,edge_sparsification,0.8365,0.0268,0.8366,0.0267,0.5335,0.0368,0.0198,0.0597,0.1103,0.5236,0.0292,0.5182,0.0222,0.013,0.055,0.081,0.0521,0.0169,,,,,,0.0036,0.0032,0.0004,
synthetic_low_dense,GCN,epsd_tuned,0.8295,0.0252,0.8298,0.0254,0.5133,0.0376,0.0111,0.0592,0.0997,0.5263,0.0352,0.5162,0.0283,0.008,0.043,0.075,0.0785,0.0282,,,,,,0.0033,0.0029,0.0004,
synthetic_low_dense,GCN,label_smoothing,0.833,0.0244,0.8339,0.0246,0.5129,0.046,0.0144,0.0532,0.1114,0.5242,0.0351,0.5222,0.0338,0.008,0.0555,0.0925,0.1152,0.022,,,,,,0.0027,0.0023,0.0004,
synthetic_low_dense,GCN,none,0.829,0.0222,0.8295,0.0227,0.5164,0.0352,0.0207,0.0555,0.1093,0.5227,0.0359,0.5166,0.03,0.0065,0.055,0.081,0.051,0.0143,,,,,,0.0041,0.0036,0.0004,
synthetic_low_dense,GraphSAGE,confidence_masking,1.0,0.0,1.0,0.0,0.4748,0.031,0.0011,0.0164,0.0306,0.5038,0.012,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.5181,1.6392,-0.1211,
synthetic_low_dense,GraphSAGE,dropedge,1.0,0.0,1.0,0.0,0.5138,0.0295,0.003,0.0124,0.0524,0.5021,0.0087,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.819,1.8938,-0.0748,
synthetic_low_dense,GraphSAGE,early_stopping,1.0,0.0,1.0,0.0,0.4897,0.0343,0.0011,0.0346,0.0486,0.5064,0.0157,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.7303,1.8245,-0.0943,
synthetic_low_dense,GraphSAGE,edge_sparsification,1.0,0.0,1.0,0.0,0.5193,0.0449,0.0062,0.0143,0.0791,0.5058,0.0088,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.5709,1.6753,-0.1044,
synthetic_low_dense,GraphSAGE,epsd_tuned,0.9355,0.0228,0.9364,0.0223,0.5684,0.0505,0.0284,0.0896,0.1689,0.5673,0.0338,0.5,0.0,0.0,0.0,0.0,0.097,0.0225,,,,,,0.1858,0.2237,-0.0379,
