dataset,model,defense,seed,homophily,density,feature_snr,h_target,rho_target,conf_attack_auc,test_accuracy,is_gcn
synth_h0.8_r0.005_snr1.0,GraphSAGE,none,123,0.7994987368583679,0.005,1.0,0.8,0.005,0.4484431231419183,0.99375,0.0
synth_h0.8_r0.005_snr2.5,GCN,none,42,0.7994987368583679,0.005,2.5,0.8,0.005,0.45556250977937723,0.975,1.0
synth_h0.8_r0.005_snr2.5,GCN,none,123,0.7994987368583679,0.005,2.5,0.8,0.005,0.46995775309028315,0.95625,1.0
synth_h0.8_r0.005_snr2.5,GraphSAGE,none,42,0.7994987368583679,0.005,2.5,0.8,0.005,0.466750117352527,1.0,0.0
synth_h0.8_r0.005_snr2.5,GraphSAGE,none,123,0.7994987368583679,0.005,2.5,0.8,0.005,0.45931779064309186,0.99375,0.0
synth_h0.8_r0.01_snr0.25,GCN,none,42,0.7994987368583679,0.01,0.25,0.8,0.01,0.4928806133625411,0.975,1.0
synth_h0.8_r0.01_snr0.25,GCN,none,123,0.7994987368583679,0.01,0.25,0.8,0.01,0.5442027851666407,0.98125,1.0
synth_h0.8_r0.01_snr0.25,GraphSAGE,none,42,0.7994987368583679,0.01,0.25,0.8,0.01,0.5363792833672352,0.975,0.0
synth_h0.8_r0.01_snr0.25,GraphSAGE,none,123,0.7994987368583679,0.01,0.25,0.8,0.01,0.6426224378031606,0.99375,0.0
synth_h0.8_r0.01_snr1.0,GCN,none,42,0.7994987368583679,0.01,1.0,0.8,0.01,0.4492254733218589,0.9875,1.0
synth_h0.8_r0.01_snr1.0,GCN,none,123,0.7994987368583679,0.01,1.0,0.8,0.01,0.48333594116726647,0.9875,1.0
synth_h0.8_r0.01_snr1.0,GraphSAGE,none,42,0.7994987368583679,0.01,1.0,0.8,0.01,0.48912533249882645,0.98125,0.0
synth_h0.8_r0.01_snr1.0,GraphSAGE,none,123,0.7994987368583679,0.01,1.0,0.8,0.01,0.5830073540916915,0.99375,0.0
synth_h0.8_r0.01_snr2.5,GCN,none,42,0.7994987368583679,0.01,2.5,0.8,0.01,0.44633077765607887,0.9875,1.0
synth_h0.8_r0.01_snr2.5,GCN,none,123,0.7994987368583679,0.01,2.5,0.8,0.01,0.49867000469410105,0.99375,1.0
synth_h0.8_r0.01_snr2.5,GraphSAGE,none,42,0.7994987368583679,0.01,2.5,0.8,0.01,0.4909247379126897,0.98125,0.0
synth_h0.8_r0.01_snr2.5,GraphSAGE,none,123,0.7994987368583679,0.01,2.5,0.8,0.01,0.5382569237990924,0.99375,0.0
synth_h0.8_r0.02_snr0.25,GCN,none,42,0.7994987368583679,0.02,0.25,0.8,0.02,0.4600219058050383,1.0,1.0
