dataset,model,het,sparsity,is_gcn,het_x_gcn,sparsity_x_gcn,snr,snr_x_inv,conf,homophily,density,h_target,rho_target
synth_h0.2_r0.04_snr1.0,GCN,0.800125315785408,0.0,1.0,0.800125315785408,0.0,1.0,0.9999990000010001,0.4633860115787827,0.19987468421459198,0.04,0.2,0.04
synth_h0.2_r0.04_snr1.0,GraphSAGE,0.800125315785408,0.0,0.0,0.0,0.0,1.0,0.9999990000010001,0.582342356438742,0.19987468421459198,0.04,0.2,0.04
synth_h0.2_r0.04_snr2.5,GCN,0.800125315785408,0.0,1.0,0.800125315785408,0.0,2.5,0.399999840000064,0.48865592239086214,0.19987468421459198,0.04,0.2,0.04
synth_h0.2_r0.04_snr2.5,GraphSAGE,0.800125315785408,0.0,0.0,0.0,0.0,2.5,0.399999840000064,0.5169378813957127,0.19987468421459198,0.04,0.2,0.04
synth_h0.4_r0.005_snr0.25,GCN,0.6015037596225739,2.0794415416798357,1.0,0.6015037596225739,2.0794415416798357,0.25,3.9999840000640003,0.6435612580190893,0.39849624037742615,0.005,0.4,0.005
synth_h0.4_r0.005_snr0.25,GraphSAGE,0.6015037596225739,2.0794415416798357,0.0,0.0,0.0,0.25,3.9999840000640003,0.7280550774526677,0.39849624037742615,0.005,0.4,0.005
synth_h0.4_r0.005_snr1.0,GCN,0.6015037596225739,2.0794415416798357,1.0,0.6015037596225739,2.0794415416798357,1.0,0.9999990000010001,0.5364575183852291,0.39849624037742615,0.005,0.4,0.005
synth_h0.4_r0.005_snr1.0,GraphSAGE,0.6015037596225739,2.0794415416798357,0.0,0.0,0.0,1.0,0.9999990000010001,0.5420904396808011,0.39849624037742615,0.005,0.4,0.005
synth_h0.4_r0.005_snr2.5,GCN,0.6015037596225739,2.0794415416798357,1.0,0.6015037596225739,2.0794415416798357,2.5,0.399999840000064,0.4996870599280238,0.39849624037742615,0.005,0.4,0.005
synth_h0.4_r0.005_snr2.5,GraphSAGE,0.6015037596225739,2.0794415416798357,0.0,0.0,0.0,2.5,0.399999840000064,0.5265216710999843,0.39849624037742615,0.005,0.4,0.005
synth_h0.4_r0.01_snr0.25,GCN,0.600250631570816,1.3862943611198904,1.0,0.600250631570816,1.3862943611198904,0.25,3.9999840000640003,0.606869034579878,0.39974936842918396,0.01,0.4,0.01
synth_h0.4_r0.01_snr0.25,GraphSAGE,0.600250631570816,1.3862943611198904,0.0,0.0,0.0,0.25,3.9999840000640003,0.6731340948208417,0.39974936842918396,0.01,0.4,0.01
synth_h0.4_r0.01_snr1.0,GCN,0.600250631570816,1.3862943611198904,1.0,0.600250631570816,1.3862943611198904,1.0,0.9999990000010001,0.5125176028790486,0.39974936842918396,0.01,0.4,0.01
synth_h0.4_r0.01_snr1.0,GraphSAGE,0.600250631570816,1.3862943611198904,0.0,0.0,0.0,1.0,0.9999990000010001,0.565013299953059,0.39974936842918396,0.01,0.4,0.01
synth_h0.4_r0.01_snr2.5,GCN,0.600250631570816,1.3862943611198904,1.0,0.600250631570816,1.3862943611198904,2.5,0.399999840000064,0.511657017681114,0.39974936842918396,0.01,0.4,0.01
synth_h0.4_r0.01_snr2.5,GraphSAGE,0.600250631570816,1.3862943611198904,0.0,0.0,0.0,2.5,0.399999840000064,0.5424424972617743,0.39974936842918396,0.01,0.4,0.01
synth_h0.4_r0.02_snr0.25,GCN,0.600250631570816,0.6931471805599454,1.0,0.600250631570816,0.6931471805599454,0.25,3.9999840000640003,0.52605226099202,0.39974936842918396,0.02,0.4,0.02
synth_h0.4_r0.02_snr0.25,GraphSAGE,0.600250631570816,0.6931471805599454,0.0,0.0,0.0,0.25,3.9999840000640003,0.6258019089344391,0.39974936842918396,0.02,0.4,0.02
synth_h0.4_r0.02_snr1.0,GCN,0.600250631570816,0.6931471805599454,1.0,0.600250631570816,0.6931471805599454,1.0,0.9999990000010001,0.46956657800031293,0.39974936842918396,0.02,0.4,0.02
synth_h0.4_r0.02_snr1.0,GraphSAGE,0.600250631570816,0.6931471805599454,0.0,0.0,0.0,1.0,0.9999990000010001,0.5018776404318572,0.39974936842918396,0.02,0.4,0.02
synth_h0.4_r0.02_snr2.5,GCN,0.600250631570816,0.6931471805599454,1.0,0.600250631570816,0.6931471805599454,2.5,0.399999840000064,0.4415584415584416,0.39974936842918396,0.02,0.4,0.02
synth_h0.4_r0.02_snr2.5,GraphSAGE,0.600250631570816,0.6931471805599454,0.0,0.0,0.0,2.5,0.399999840000064,0.5210452198404006,0.39974936842918396,0.02,0.4,0.02
synth_h0.4_r0.04_snr0.25,GCN,0.600250631570816,0.0,1.0,0.600250631570816,0.0,0.25,3.9999840000640003,0.5371616335471757,0.39974936842918396,0.04,0.4,0.04
synth_h0.4_r0.04_snr0.25,GraphSAGE,0.600250631570816,0.0,0.0,0.0,0.0,0.25,3.9999840000640003,0.6329995305898921,0.39974936842918396,0.04,0.4,0.04
synth_h0.4_r0.04_snr1.0,GCN,0.600250631570816,0.0,1.0,0.600250631570816,0.0,1.0,0.9999990000010001,0.4576748552652167,0.39974936842918396,0.04,0.4,0.04
synth_h0.4_r0.04_snr1.0,GraphSAGE,0.600250631570816,0.0,0.0,0.0,0.0,1.0,0.9999990000010001,0.48705210452198405,0.39974936842918396,0.04,0.4,0.04
