dataset,model,defense,metric,mean_none,mean_def,mean_diff,ci_low,ci_high,cohens_d,p_val,n_seeds,p_val_corrected,significant
Cora,GCN,dp_sgd,label_only_attack_auc,0.52478,0.50892,-0.01586000000000003,-0.026110160042911612,-0.00560983995708845,-1.0317599692093804,0.012685980239034483,5,0.12247549359101334,False
Cora,GraphSAGE,epsd_tuned,test_accuracy,0.88048,0.88048,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Cora,GraphSAGE,epsd_tuned,test_auroc,0.9842200000000002,0.9842200000000002,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Cora,GraphSAGE,epsd_tuned,conf_attack_auc,0.62928,0.62928,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Cora,GraphSAGE,epsd_tuned,threshold_attack_auc,0.6275800000000001,0.6275800000000001,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Cora,GraphSAGE,epsd_tuned,shadow_attack_auc,0.62736,0.62736,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Cora,GraphSAGE,epsd_tuned,label_only_attack_auc,0.60516,0.60516,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Cora,GraphSAGE,dropedge,test_accuracy,0.88048,0.87532,-0.005159999999999987,-0.014458231338709888,0.004138231338709914,-0.8197501499935897,0.19822157514303115,5,0.804053713256239,False
Cora,GraphSAGE,dropedge,test_auroc,0.9842200000000002,0.9841200000000001,-0.0001000000000000334,-0.0009691647987426956,0.0007691647987426287,-0.036930804792322865,0.7653815807647615,5,1.0,False
Cora,GraphSAGE,dropedge,conf_attack_auc,0.62928,0.6654,0.03612,0.029178665124950865,0.04306133487504914,2.707186792070616,0.00013342302343580812,5,0.0038425830749512736,True
Cora,GraphSAGE,dropedge,threshold_attack_auc,0.6275800000000001,0.66426,0.036679999999999977,0.03208886446386074,0.04127113553613921,4.6063720439545035,2.4450993572239048e-05,5,0.001100873627891648,True
Cora,GraphSAGE,dropedge,shadow_attack_auc,0.62736,0.6638,0.036439999999999986,0.03186046441472778,0.041019535585272195,4.644054613754503,2.4846106185054553e-05,5,0.001100873627891648,True
Cora,GraphSAGE,dropedge,label_only_attack_auc,0.60516,0.6291,0.023940000000000027,0.00445940377876505,0.04342059622123501,1.5300045301659755,0.026977352113844583,5,0.21885851855738703,False
Cora,GraphSAGE,label_smoothing,test_accuracy,0.88048,0.8790399999999998,-0.0014399999999999968,-0.0035845230360317224,0.0007045230360317287,-0.37702665722342416,0.13571981879808387,5,0.6241757346142262,False
Cora,GraphSAGE,label_smoothing,test_auroc,0.9842200000000002,0.98254,-0.001680000000000037,-0.0026108340186374365,-0.0007491659813626372,-0.6095003050984621,0.007432312872035185,5,0.08077381536400503,False
Cora,GraphSAGE,label_smoothing,conf_attack_auc,0.62928,0.67384,0.04456,0.03710298323425418,0.05201701676574583,3.2652794907996103,7.730875265275488e-05,5,0.0024738800848881563,True
Cora,GraphSAGE,label_smoothing,threshold_attack_auc,0.6275800000000001,0.67814,0.05055999999999996,0.04491104285121199,0.05620895714878793,6.7022760557289525,1.5565594060402345e-05,5,0.0009961980198657501,True
Cora,GraphSAGE,label_smoothing,shadow_attack_auc,0.62736,0.6789400000000001,0.05157999999999998,0.046176692564109195,0.056983307435890765,6.983321997222402,1.2044750240467507e-05,5,0.0008672220173136606,True
Cora,GraphSAGE,label_smoothing,label_only_attack_auc,0.60516,0.6244,0.019240000000000014,0.011054147046152533,0.027425852953847495,1.1071073462221686,0.002847911502173127,5,0.04000968354272491,True
Cora,GraphSAGE,confidence_masking,test_accuracy,0.88048,0.88048,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Cora,GraphSAGE,confidence_masking,test_auroc,0.9842200000000002,0.9645199999999999,-0.01970000000000003,-0.0251051617672416,-0.014294838232758459,-7.521769072907685,0.0005367920140660541,5,0.013443139134871617,True
Cora,GraphSAGE,confidence_masking,conf_attack_auc,0.62928,0.6292,-7.999999999999118e-05,-0.0034570065141139306,0.0032970065141139484,-0.006237809653332987,0.9507147122947188,5,1.0,False
Cora,GraphSAGE,confidence_masking,threshold_attack_auc,0.6275800000000001,0.6276400000000001,5.999999999997119e-05,-0.0015863172335967115,0.0017063172335966537,0.008421104469865997,0.9242708323575791,5,1.0,False
Cora,GraphSAGE,confidence_masking,shadow_attack_auc,0.62736,0.6276400000000001,0.00027999999999999136,-0.001585390963409751,0.0021453909634097336,0.03972610441657145,0.6982533303558971,5,1.0,False
Cora,GraphSAGE,confidence_masking,label_only_attack_auc,0.60516,0.60516,0.0,0.0,0.0,0.0,1.0,5,1.0,False
