center_std,noise_std,homophily,density,seed,gcn_acc,gcn_f1,mlp_acc,mlp_f1,struct_acc,struct_f1,feat_cv_score,realized_homophily,realized_density
0.5,1.5,high,sparse,42,0.79,0.7889499568952196,0.64,0.6386865040681184,0.16,0.05517241379310345,0.7400403995062282,0.7994987368583679,0.005
0.5,1.5,high,sparse,43,0.855,0.8525046076565721,0.685,0.6812922226973868,0.175,0.05957446808510638,0.729884412523847,0.7994987368583679,0.005
0.5,1.5,high,sparse,44,0.855,0.8505369701498735,0.725,0.7022305571324304,0.195,0.06527196652719666,0.7574533348296114,0.7994987368583679,0.005
0.5,1.5,high,medium,42,0.995,0.9955417956656347,0.71,0.6993483260925122,0.14,0.04912280701754386,0.7400403995062282,0.7994987368583679,0.015
0.5,1.5,high,medium,43,0.98,0.9803278388278388,0.705,0.6998405813675724,0.165,0.05665236051502146,0.729884412523847,0.7994987368583679,0.015
0.5,1.5,high,medium,44,0.985,0.9848151669408232,0.715,0.7024917506894702,0.185,0.06244725738396625,0.7574533348296114,0.7994987368583679,0.015
0.5,1.5,high,dense,42,1.0,1.0,0.705,0.692566029143898,0.235,0.07611336032388663,0.7400403995062282,0.7998120188713074,0.04
0.5,1.5,high,dense,43,1.0,1.0,0.72,0.717890114567211,0.195,0.06527196652719666,0.729884412523847,0.7998120188713074,0.04
0.5,1.5,high,dense,44,1.0,1.0,0.7,0.7011826436916299,0.195,0.06527196652719666,0.7574533348296114,0.7998120188713074,0.04
0.5,2.0,low,sparse,42,0.415,0.4104830764443389,0.515,0.5118548936565236,0.22,0.07213114754098361,0.5925260913477725,0.2982456088066101,0.005
0.5,2.0,low,sparse,43,0.4,0.3944682130455044,0.52,0.5153514346027723,0.165,0.05665236051502146,0.5600755620394269,0.2982456088066101,0.005
0.5,2.0,low,sparse,44,0.415,0.4065964785824806,0.575,0.5593557066989148,0.195,0.06527196652719666,0.6024763401039913,0.2982456088066101,0.005
0.5,2.0,low,medium,42,0.445,0.4437354468487252,0.535,0.5276086205252872,0.19,0.06386554621848739,0.5925260913477725,0.29991644620895386,0.015
0.5,2.0,low,medium,43,0.41,0.40423370667273106,0.485,0.4750864590903162,0.15,0.05217391304347826,0.5600755620394269,0.29991644620895386,0.015
0.5,2.0,low,medium,44,0.515,0.5090984535914682,0.59,0.5775547268349126,0.21,0.06942148760330578,0.6024763401039913,0.29991644620895386,0.015
0.5,2.0,low,dense,42,0.52,0.520587324849319,0.535,0.5317470455509031,0.2,0.06666666666666667,0.5925260913477725,0.2998120188713074,0.04
0.5,2.0,low,dense,43,0.595,0.5951486365190839,0.515,0.5111775655650032,0.195,0.06527196652719666,0.5600755620394269,0.2998120188713074,0.04
0.5,2.0,low,dense,44,0.6,0.6012458042185342,0.535,0.5222080438519524,0.19,0.06386554621848739,0.6024763401039913,0.2998120188713074,0.04
0.5,2.0,medium,sparse,42,0.605,0.5926010756913024,0.48,0.47692379971449733,0.16,0.05517241379310345,0.5925260913477725,0.548872172832489,0.005
0.5,2.0,medium,sparse,43,0.595,0.5962178172704489,0.54,0.5390865654500966,0.16,0.05517241379310345,0.5600755620394269,0.548872172832489,0.005
0.5,2.0,medium,sparse,44,0.625,0.6175998625668102,0.58,0.5669016907912018,0.205,0.06804979253112034,0.6024763401039913,0.548872172832489,0.005
0.5,2.0,medium,medium,42,0.77,0.7615093566082493,0.565,0.5555072195097149,0.23,0.07479674796747968,0.5925260913477725,0.5497075915336609,0.015
0.5,2.0,medium,medium,43,0.77,0.7648257622449658,0.505,0.5008336686144905,0.175,0.05957446808510638,0.5600755620394269,0.5497075915336609,0.015
0.5,2.0,medium,medium,44,0.78,0.7817164596701236,0.55,0.5364482319448607,0.205,0.06804979253112034,0.6024763401039913,0.5497075915336609,0.015
0.5,2.0,medium,dense,42,0.96,0.9596955732439604,0.545,0.5410571396112263,0.225,0.07346938775510205,0.5925260913477725,0.5498120188713074,0.04
0.5,2.0,medium,dense,43,0.96,0.9600762491279641,0.545,0.5457230053832641,0.185,0.06244725738396625,0.5600755620394269,0.5498120188713074,0.04
0.5,2.0,medium,dense,44,0.935,0.9340416296032734,0.56,0.5531966943072482,0.18,0.061016949152542375,0.6024763401039913,0.5498120188713074,0.04
0.5,2.0,high,sparse,42,0.755,0.7531437883582983,0.475,0.4747076439510681,0.245,0.078714859437751,0.5925260913477725,0.7994987368583679,0.005
0.5,2.0,high,sparse,43,0.81,0.8067421580319406,0.535,0.5304600434012199,0.175,0.05957446808510638,0.5600755620394269,0.7994987368583679,0.005
0.5,2.0,high,sparse,44,0.825,0.8239006951340617,0.545,0.535399376764392,0.195,0.06527196652719666,0.6024763401039913,0.7994987368583679,0.005
0.5,2.0,high,medium,42,0.995,0.9955417956656347,0.535,0.531477139078292,0.14,0.04912280701754386,0.5925260913477725,0.7994987368583679,0.015
0.5,2.0,high,medium,43,0.98,0.9803916921246237,0.545,0.5386951720552704,0.205,0.06804979253112034,0.5600755620394269,0.7994987368583679,0.015
0.5,2.0,high,medium,44,0.965,0.9639770283491668,0.545,0.5305234858849317,0.185,0.06244725738396625,0.6024763401039913,0.7994987368583679,0.015
0.5,2.0,high,dense,42,1.0,1.0,0.515,0.5016126235589906,0.16,0.05517241379310345,0.5925260913477725,0.7998120188713074,0.04
0.5,2.0,high,dense,43,1.0,1.0,0.515,0.5154364244426736,0.195,0.06527196652719666,0.5600755620394269,0.7998120188713074,0.04
0.5,2.0,high,dense,44,1.0,1.0,0.545,0.5421954007824177,0.195,0.06527196652719666,0.6024763401039913,0.7998120188713074,0.04
1.0,1.0,low,sparse,42,0.65,0.6476647286821706,0.99,0.9897281176307393,0.2,0.06666666666666667,1.0,0.2982456088066101,0.005
1.0,1.0,low,sparse,43,0.73,0.7310056593095642,1.0,1.0,0.165,0.05665236051502146,1.0,0.2982456088066101,0.005
1.0,1.0,low,sparse,44,0.69,0.6718671681869635,1.0,1.0,0.195,0.06527196652719666,1.0,0.2982456088066101,0.005
1.0,1.0,low,medium,42,0.72,0.7213841419705291,0.995,0.9948051948051948,0.19,0.06386554621848739,1.0,0.29991644620895386,0.015
1.0,1.0,low,medium,43,0.74,0.7419154628143392,1.0,1.0,0.15,0.05217391304347826,1.0,0.29991644620895386,0.015
1.0,1.0,low,medium,44,0.76,0.7600945526402443,1.0,1.0,0.205,0.06804979253112034,1.0,0.29991644620895386,0.015
1.0,1.0,low,dense,42,0.805,0.8055035160917514,0.995,0.9952714776632302,0.2,0.06666666666666667,1.0,0.2998120188713074,0.04
1.0,1.0,low,dense,43,0.83,0.8300610673487547,1.0,1.0,0.205,0.06804979253112034,1.0,0.2998120188713074,0.04
1.0,1.0,low,dense,44,0.87,0.8672242822665558,0.995,0.9943617232479651,0.19,0.06386554621848739,1.0,0.2998120188713074,0.04
1.0,1.0,medium,sparse,42,0.76,0.7551739890629257,0.99,0.9898472259447869,0.16,0.05517241379310345,1.0,0.548872172832489,0.005
1.0,1.0,medium,sparse,43,0.78,0.7818600362034223,1.0,1.0,0.16,0.05517241379310345,1.0,0.548872172832489,0.005
1.0,1.0,medium,sparse,44,0.83,0.8253830893229923,1.0,1.0,0.205,0.06804979253112034,1.0,0.548872172832489,0.005
1.0,1.0,medium,medium,42,0.89,0.8896915683051944,0.995,0.9949509116409537,0.23,0.07479674796747968,1.0,0.5497075915336609,0.015
1.0,1.0,medium,medium,43,0.94,0.9388555361932436,1.0,1.0,0.175,0.05957446808510638,1.0,0.5497075915336609,0.015
1.0,1.0,medium,medium,44,0.915,0.9168902013863255,1.0,1.0,0.205,0.06804979253112034,1.0,0.5497075915336609,0.015
1.0,1.0,medium,dense,42,0.985,0.9843501177185388,1.0,1.0,0.225,0.07346938775510205,1.0,0.5498120188713074,0.04
1.0,1.0,medium,dense,43,0.995,0.9949073327961322,1.0,1.0,0.185,0.06244725738396625,1.0,0.5498120188713074,0.04
1.0,1.0,medium,dense,44,0.975,0.975094060168687,0.995,0.9945040466779597,0.18,0.061016949152542375,1.0,0.5498120188713074,0.04
1.0,1.0,high,sparse,42,0.92,0.9207307692307692,0.995,0.9944539411206078,0.16,0.05517241379310345,1.0,0.7994987368583679,0.005
1.0,1.0,high,sparse,43,0.92,0.9212635545251876,1.0,1.0,0.175,0.05957446808510638,1.0,0.7994987368583679,0.005
1.0,1.0,high,sparse,44,0.92,0.9204320898601763,1.0,1.0,0.195,0.06527196652719666,1.0,0.7994987368583679,0.005
1.0,1.0,high,medium,42,0.995,0.9955417956656347,0.995,0.9940647857889238,0.215,0.07078189300411522,1.0,0.7994987368583679,0.015
1.0,1.0,high,medium,43,0.99,0.9899803921568628,1.0,1.0,0.235,0.07611336032388663,1.0,0.7994987368583679,0.015
1.0,1.0,high,medium,44,0.985,0.9843082123619821,1.0,1.0,0.185,0.06244725738396625,1.0,0.7994987368583679,0.015
1.0,1.0,high,dense,42,1.0,1.0,1.0,1.0,0.235,0.07611336032388663,1.0,0.7998120188713074,0.04
1.0,1.0,high,dense,43,1.0,1.0,1.0,1.0,0.195,0.06527196652719666,1.0,0.7998120188713074,0.04
1.0,1.0,high,dense,44,1.0,1.0,0.995,0.9950587158761628,0.195,0.06527196652719666,1.0,0.7998120188713074,0.04
1.0,1.5,low,sparse,42,0.575,0.5687310497209191,0.93,0.9289851399545987,0.2,0.06666666666666667,0.9949874686716792,0.2982456088066101,0.005
1.0,1.5,low,sparse,43,0.67,0.6711856499144944,0.99,0.99,0.165,0.05665236051502146,0.9899936408184641,0.2982456088066101,0.005
