center_std,noise_std,homophily,density,seed,gcn_acc,gcn_f1,mlp_acc,mlp_f1,struct_acc,struct_f1,feat_cv_score,realized_homophily,realized_density
1.0,1.0,low,sparse,43.0,0.69,0.6835125187262326,0.9966666666666667,0.9965760392102464,0.18666666666666668,0.06286366456962826,1.0,0.2982456088066101,0.005
1.0,1.0,medium,dense,43.0,0.985,0.9847838368944526,0.9983333333333334,0.9981680155593199,0.19666666666666666,0.06564453143053689,1.0,0.5498120188713074,0.04
1.0,1.0,medium,medium,43.0,0.915,0.9151457686282546,0.9983333333333334,0.9983169705469845,0.20333333333333334,0.06747366952790214,1.0,0.5497075915336609,0.015
1.0,1.0,medium,sparse,43.0,0.79,0.7874723715297801,0.9966666666666667,0.9966157419815956,0.17500000000000002,0.05946487337244241,1.0,0.548872172832489,0.005
1.0,1.5,high,dense,43.0,1.0,1.0,0.9716666666666667,0.9705995284911566,0.21,0.06932109596436767,0.9916520156111672,0.7998120188713074,0.04
1.0,1.5,high,medium,43.0,0.9899999999999999,0.9899901753200084,0.9616666666666666,0.9595209323527792,0.18833333333333332,0.06329383696770098,0.9916520156111672,0.7994987368583679,0.015
1.0,1.5,high,sparse,43.0,0.9183333333333333,0.9185508510003769,0.965,0.9640440142148404,0.17666666666666667,0.06000628280180217,0.9916520156111672,0.7994987368583679,0.005
1.0,1.5,low,dense,43.0,0.795,0.7951695212730172,0.9733333333333333,0.9732289940366825,0.19499999999999998,0.06526805980411692,0.9916520156111672,0.2998120188713074,0.04
1.0,1.5,low,medium,43.0,0.6816666666666666,0.6810317038232623,0.98,0.9803766923108707,0.18166666666666664,0.06136308393102866,0.9916520156111672,0.29991644620895386,0.015
1.0,1.5,low,sparse,43.0,0.62,0.6132560901186861,0.9683333333333334,0.9676898453835072,0.18666666666666668,0.06286366456962826,0.9916520156111672,0.2982456088066101,0.005
1.0,1.5,medium,dense,43.0,0.9883333333333333,0.9881869348932724,0.9883333333333333,0.9878206981458401,0.205,0.06796927483698341,0.9916520156111672,0.5498120188713074,0.04
1.0,1.5,medium,medium,43.0,0.9016666666666667,0.9019387018341024,0.9766666666666666,0.9755327916985875,0.19666666666666666,0.06550873139275123,0.9916520156111672,0.5497075915336609,0.015
1.0,1.5,medium,sparse,43.0,0.7600000000000001,0.7553906353999796,0.975,0.9748468984867422,0.17500000000000002,0.05946487337244241,0.9916520156111672,0.548872172832489,0.005
1.0,2.0,high,dense,43.0,1.0,1.0,0.8883333333333333,0.8861720404769536,0.21,0.06932109596436767,0.9366762677838875,0.7998120188713074,0.04
1.0,2.0,high,medium,43.0,0.9866666666666667,0.987136261111583,0.8883333333333333,0.8833885320995284,0.18833333333333332,0.06329383696770098,0.9366762677838875,0.7994987368583679,0.015
1.0,2.0,high,sparse,43.0,0.8916666666666666,0.8911128398665742,0.875,0.872923032226956,0.17666666666666667,0.06000628280180217,0.9366762677838875,0.7994987368583679,0.005
1.0,2.0,low,dense,43.0,0.7366666666666667,0.7381011966820578,0.8983333333333334,0.8961017719108288,0.19499999999999998,0.06526805980411692,0.9366762677838875,0.2998120188713074,0.04
1.0,2.0,low,medium,43.0,0.6333333333333333,0.6348941509983971,0.8866666666666667,0.8847557633090805,0.18166666666666664,0.06136308393102866,0.9366762677838875,0.29991644620895386,0.015
1.0,2.0,low,sparse,43.0,0.5766666666666667,0.5711156078070282,0.88,0.8757506228394926,0.19333333333333336,0.06468515819440059,0.9366762677838875,0.2982456088066101,0.005
1.0,2.0,medium,dense,43.0,0.9833333333333334,0.9835166845807888,0.9333333333333332,0.9319536319052633,0.18333333333333335,0.06197048797349162,0.9366762677838875,0.5498120188713074,0.04
1.0,2.0,medium,medium,43.0,0.8783333333333333,0.8772721805769232,0.8933333333333334,0.8896709720201462,0.20166666666666666,0.06686918306270566,0.9366762677838875,0.5497075915336609,0.015
1.0,2.0,medium,sparse,43.0,0.7616666666666667,0.7587733464895484,0.8850000000000001,0.8816240806020095,0.14333333333333334,0.049994822408615504,0.9366762677838875,0.548872172832489,0.005
1.5,1.0,high,dense,43.0,1.0,1.0,1.0,1.0,0.20833333333333334,0.06888576445942665,1.0,0.7998120188713074,0.04
1.5,1.0,high,medium,43.0,0.9899999999999999,0.9899434667281599,1.0,1.0,0.20166666666666666,0.06709298097306728,1.0,0.7994987368583679,0.015
1.5,1.0,high,sparse,43.0,0.93,0.9301009900038637,1.0,1.0,0.17666666666666667,0.06000628280180217,1.0,0.7994987368583679,0.005
1.5,1.0,low,dense,43.0,0.8233333333333333,0.8247442083544311,1.0,1.0,0.21166666666666667,0.06983773572175556,1.0,0.2998120188713074,0.04
1.5,1.0,low,medium,43.0,0.8066666666666666,0.8064965425787566,1.0,1.0,0.18166666666666664,0.06136308393102866,1.0,0.29991644620895386,0.015
1.5,1.0,low,sparse,43.0,0.7200000000000001,0.715857925453187,1.0,1.0,0.18666666666666668,0.06286366456962826,1.0,0.2982456088066101,0.005
1.5,1.0,medium,dense,43.0,0.9899999999999999,0.989583843904986,1.0,1.0,0.19666666666666666,0.06564453143053689,1.0,0.5498120188713074,0.04
1.5,1.0,medium,medium,43.0,0.9333333333333332,0.9335017190660864,1.0,1.0,0.19666666666666666,0.06550873139275123,1.0,0.5497075915336609,0.015
1.5,1.0,medium,sparse,43.0,0.8183333333333334,0.8155926266280314,1.0,1.0,0.17500000000000002,0.05946487337244241,1.0,0.548872172832489,0.005
1.5,1.5,high,dense,43.0,1.0,1.0,0.9966666666666667,0.9964562759914037,0.19666666666666666,0.06551924688139558,1.0,0.7998120188713074,0.04
1.5,1.5,high,medium,43.0,0.9883333333333333,0.9885250270118479,0.9983333333333334,0.9980215952629745,0.18833333333333332,0.06329383696770098,1.0,0.7994987368583679,0.015
1.5,1.5,high,sparse,43.0,0.93,0.9308984044130456,0.9966666666666667,0.9960733916289471,0.205,0.06785376468335134,1.0,0.7994987368583679,0.005
1.5,1.5,low,dense,43.0,0.8016666666666667,0.8016787426444189,0.9966666666666667,0.9965444003037317,0.19499999999999998,0.06526805980411692,1.0,0.2998120188713074,0.04
1.5,1.5,low,medium,43.0,0.7416666666666667,0.7422763337846443,0.9983333333333334,0.9982683982683982,0.18166666666666664,0.06136308393102866,1.0,0.29991644620895386,0.015
1.5,1.5,low,sparse,43.0,0.69,0.6831245675575596,0.9966666666666667,0.9965760392102464,0.18666666666666668,0.06286366456962826,1.0,0.2982456088066101,0.005
1.5,1.5,medium,dense,43.0,0.9866666666666667,0.9862521314773831,0.9983333333333334,0.9981680155593199,0.19666666666666666,0.06564453143053689,1.0,0.5498120188713074,0.04
1.5,1.5,medium,medium,43.0,0.9116666666666666,0.9121629307272333,0.9983333333333334,0.9983169705469845,0.18166666666666664,0.06139223453158008,1.0,0.5497075915336609,0.015
1.5,1.5,medium,sparse,43.0,0.7983333333333333,0.7965367403850253,0.9966666666666667,0.9966157419815956,0.17500000000000002,0.05946487337244241,1.0,0.548872172832489,0.005
1.5,2.0,high,dense,43.0,1.0,1.0,0.98,0.9789165535634705,0.21,0.06932109596436767,0.9974937343358397,0.7998120188713074,0.04
1.5,2.0,high,medium,43.0,0.9899999999999999,0.9899901753200084,0.9766666666666666,0.9747467805458458,0.20166666666666666,0.06709298097306728,0.9974937343358397,0.7994987368583679,0.015
1.5,2.0,high,sparse,43.0,0.9166666666666666,0.9175406954224509,0.9783333333333334,0.9775138292934917,0.17500000000000002,0.05952134614665274,0.9974937343358397,0.7994987368583679,0.005
1.5,2.0,low,dense,43.0,0.8066666666666666,0.8066594890990251,0.9833333333333334,0.9828835181788965,0.19833333333333333,0.0661940018054248,0.9974937343358397,0.2998120188713074,0.04
1.5,2.0,low,medium,43.0,0.6966666666666667,0.69622080425015,0.9883333333333333,0.9884491954365372,0.19666666666666666,0.0657291017589348,0.9974937343358397,0.29991644620895386,0.015
1.5,2.0,low,sparse,43.0,0.6516666666666667,0.6468275063340554,0.9783333333333334,0.9775274129578149,0.17,0.05774265083348317,0.9974937343358397,0.2982456088066101,0.005
1.5,2.0,medium,dense,43.0,0.9866666666666667,0.9865347991798433,0.9899999999999999,0.9894095775538876,0.19666666666666666,0.06564453143053689,0.9974937343358397,0.5498120188713074,0.04
1.5,2.0,medium,medium,43.0,0.9116666666666666,0.9117329644522529,0.9883333333333333,0.9873038767459349,0.21166666666666667,0.06985632427244758,0.9974937343358397,0.5497075915336609,0.015
1.5,2.0,medium,sparse,43.0,0.7799999999999999,0.7768444287831607,0.98,0.9797487675430067,0.19333333333333333,0.06466803310944634,0.9974937343358397,0.548872172832489,0.005
